x,predicted,expected
-1,-0.848793,-0.841471
-0.8,-0.716658,-0.717356
-0.6,-0.562833,-0.564642
-0.4,-0.388722,-0.389418
-0.2,-0.19863,-0.198669
0,0.000283025,0
0.2,0.199078,0.198669
0.4,0.388855,0.389418
0.6,0.562552,0.564642
0.8,0.715963,0.717356
1,0.847749,0.841471
