x,predicted,expected
-1,-0.89382,-0.841471
-0.8,-0.72107,-0.717356
-0.6,-0.544439,-0.564642
-0.4,-0.364872,-0.389418
-0.2,-0.183331,-0.198669
0,-0.000791138,0
0.2,0.181765,0.198669
0.4,0.363357,0.389418
0.6,0.543007,0.564642
0.8,0.719755,0.717356
1,0.892657,0.841471
