x,predicted,expected
-1,-2.40318,-3
-0.8,-2.03173,-2.112
-0.6,-1.59054,-1.416
-0.4,-1.09347,-0.864
-0.2,-0.556148,-0.408
0,0.00453483,0
0.2,0.570931,0.408
0.4,1.12521,0.864
0.6,1.64993,1.416
0.8,2.12855,2.112
1,2.54601,3
