x,predicted,expected
-1,-0.859538,-0.841471
-0.8,-0.718789,-0.717356
-0.6,-0.559313,-0.564642
-0.4,-0.383224,-0.389418
-0.2,-0.194629,-0.198669
0,0.000602005,0
0.2,0.195584,0.198669
0.4,0.383489,0.389418
0.6,0.558611,0.564642
0.8,0.717038,0.717356
1,0.856831,0.841471
