x,predicted,expected
-1,0.886898,1
-0.8,0.636293,0.64
-0.6,0.399962,0.36
-0.4,0.197126,0.16
-0.2,0.0485149,0.04
0,-0.0228933,0
0.2,0.00642556,0.04
0.4,0.149813,0.16
0.6,0.389807,0.36
0.8,0.66865,0.64
1,0.916161,1
