x,predicted,expected
-1,0.781447,1
-0.8,0.594719,0.64
-0.6,0.40505,0.36
-0.4,0.223853,0.16
-0.2,0.0715538,0.04
0,-0.0182653,0
0.2,-0.000961237,0.04
0.4,0.154786,0.16
0.6,0.417229,0.36
0.8,0.679424,0.64
1,0.840847,1
