x,predicted,expected
-1,-2.41274,-3
-0.8,-1.98151,-2.112
-0.6,-1.53083,-1.416
-0.4,-1.06176,-0.864
-0.2,-0.574595,-0.408
0,-0.0687117,0
0.2,0.457385,0.408
0.4,1.00541,0.864
0.6,1.57588,1.416
0.8,2.16595,2.112
1,2.76748,3
