x,predicted,expected
-1,-2.85769,-3
-0.8,-2.12388,-2.112
-0.6,-1.45847,-1.416
-0.4,-0.884017,-0.864
-0.2,-0.396637,-0.408
0,0.0269728,0
0.2,0.425597,0.408
0.4,0.85604,0.864
0.6,1.39449,1.416
0.8,2.11165,2.112
1,2.99692,3
